"","nom_comarca","certificados"
"1","Alt Camp",NA
"2","Alt Empordà",NA
"3","Alt Penedès",NA
"4","Alt Urgell",32964
"5","Alta Ribagorça",8264
"6","Anoia",NA
"7","Bages",NA
"8","Baix Camp",NA
"9","Baix Ebre",NA
"10","Baix Empordà",NA
"11","Baix Llobregat",NA
"12","Baix Penedès",NA
"13","Barcelonès",NA
"14","Berguedà",NA
"15","Cerdanya",NA
"16","Conca de Barberà",NA
"17","Garraf",NA
"18","Garrigues",25830
"19","Garrotxa",NA
"20","Gironès",NA
"21","Maresme",NA
"22","Moianès",NA
"23","Montsià",NA
"24","Noguera",NA
"25","Osona",NA
"26","Pallars Jussà",18252
"27","Pallars Sobirà",20883
"28","Pla d'Urgell",NA
"29","Pla de l'Estany",NA
"30","Priorat",19313
"31","Ribera d'Ebre",41625
"32","Ripollès",44822
"33","Segarra",40285
"34","Segrià",NA
"35","Selva",NA
"36","sense informar",NA
"37","Solsonès",32032
"38","Tarragonès",NA
"39","Terra Alta",18231
"40","Urgell",NA
"41","Vall d'Aran",16285
"42","Vallès Occidental",NA
"43","Vallès Oriental",NA
