"","data","certificados"
"1","01/01/2021",NA
"2","01/02/2021",NA
"3","01/03/2021",NA
"4","01/04/2020",NA
"5","01/04/2021",NA
"6","01/05/2020",NA
"7","01/05/2021",NA
"8","01/06/2020",NA
"9","01/07/2020",14
"10","01/08/2020",15
"11","01/09/2020",6
"12","01/10/2020",17
"13","01/11/2020",NA
"14","01/12/2020",NA
"15","02/01/2021",NA
"16","02/02/2021",NA
"17","02/03/2021",NA
"18","02/04/2020",NA
"19","02/04/2021",NA
"20","02/05/2020",NA
"21","02/05/2021",NA
"22","02/06/2020",NA
"23","02/07/2020",7
"24","02/08/2020",15
"25","02/09/2020",9
"26","02/10/2020",14
"27","02/11/2020",NA
"28","02/12/2020",NA
"29","03/01/2021",NA
"30","03/02/2021",NA
"31","03/03/2021",NA
"32","03/04/2020",NA
"33","03/04/2021",NA
"34","03/05/2020",NA
"35","03/05/2021",NA
"36","03/06/2020",NA
"37","03/07/2020",5
"38","03/08/2020",25
"39","03/09/2020",7
"40","03/10/2020",5
"41","03/11/2020",NA
"42","03/12/2020",NA
"43","04/01/2021",NA
"44","04/02/2021",NA
"45","04/03/2021",NA
"46","04/04/2020",NA
"47","04/04/2021",NA
"48","04/05/2020",NA
"49","04/05/2021",NA
"50","04/06/2020",NA
"51","04/07/2020",883
"52","04/08/2020",13
"53","04/09/2020",3
"54","04/10/2020",6
"55","04/11/2020",NA
"56","04/12/2020",NA
"57","05/01/2021",NA
"58","05/02/2021",NA
"59","05/03/2021",NA
"60","05/04/2020",NA
"61","05/04/2021",NA
"62","05/05/2020",NA
"63","05/05/2021",NA
"64","05/06/2020",NA
"65","05/07/2020",NA
"66","05/08/2020",18
"67","05/09/2020",3
"68","05/10/2020",13
"69","05/11/2020",NA
"70","05/12/2020",NA
"71","06/01/2021",NA
"72","06/02/2021",NA
"73","06/03/2021",NA
"74","06/04/2020",NA
"75","06/04/2021",NA
"76","06/05/2020",NA
"77","06/05/2021",NA
"78","06/06/2020",2833
"79","06/07/2020",NA
"80","06/08/2020",19
"81","06/09/2020",4
"82","06/10/2020",20
"83","06/11/2020",NA
"84","06/12/2020",NA
"85","07/01/2021",NA
"86","07/02/2021",NA
"87","07/03/2021",NA
"88","07/04/2020",NA
"89","07/04/2021",NA
"90","07/05/2020",NA
"91","07/05/2021",NA
"92","07/06/2020",2483
"93","07/07/2020",1625
"94","07/08/2020",16
"95","07/09/2020",5
"96","07/10/2020",11
"97","07/11/2020",NA
"98","07/12/2020",NA
"99","08/01/2021",NA
"100","08/02/2021",NA
"101","08/03/2021",NA
"102","08/04/2020",NA
"103","08/04/2021",NA
"104","08/05/2020",NA
"105","08/05/2021",NA
"106","08/06/2020",3375
"107","08/07/2020",1368
"108","08/08/2020",7
"109","08/09/2020",5
"110","08/10/2020",1
"111","08/11/2020",NA
"112","08/12/2020",NA
"113","09/01/2021",NA
"114","09/02/2021",NA
"115","09/03/2021",NA
"116","09/04/2020",NA
"117","09/04/2021",NA
"118","09/05/2020",NA
"119","09/05/2021",1064
"120","09/06/2020",2662
"121","09/07/2020",1026
"122","09/08/2020",8
"123","09/09/2020",7
"124","09/10/2020",13
"125","09/11/2020",NA
"126","09/12/2020",NA
"127","10/01/2021",NA
"128","10/02/2021",NA
"129","10/03/2021",NA
"130","10/04/2020",NA
"131","10/04/2021",NA
"132","10/05/2020",NA
"133","10/05/2021",399
"134","10/06/2020",2443
"135","10/07/2020",876
"136","10/08/2020",10
"137","10/09/2020",3
"138","10/10/2020",15
"139","10/11/2020",NA
"140","10/12/2020",NA
"141","11/01/2021",NA
"142","11/02/2021",NA
"143","11/03/2021",NA
"144","11/04/2020",NA
"145","11/04/2021",NA
"146","11/05/2020",NA
"147","11/05/2021",291
"148","11/06/2020",2507
