"","data_inici","nom_regio","hospitalizaciones","defunciones","Ingresos_UCI"
"1","27/04/2020","BARCELONA",1441,520,430
"2","27/04/2020","CAMP DE TARRAGONA",37,17,27
"3","27/04/2020","CATALUNYA CENTRAL",129,88,43
"4","27/04/2020","GIRONA",181,69,54
"5","27/04/2020","LLEIDA",38,12,19
"6","27/04/2020","TERRES DE L'EBRE",4,3,6
"7","04/05/2020","BARCELONA",899,316,300
"8","04/05/2020","CAMP DE TARRAGONA",22,16,18
"9","04/05/2020","CATALUNYA CENTRAL",67,81,24
"10","04/05/2020","GIRONA",131,57,32
"11","04/05/2020","LLEIDA",10,4,12
"12","11/05/2020","BARCELONA",587,172,221
"13","11/05/2020","CAMP DE TARRAGONA",7,4,14
"14","11/05/2020","CATALUNYA CENTRAL",32,20,20
"15","11/05/2020","GIRONA",96,25,25
"16","11/05/2020","LLEIDA",14,6,12
"17","18/05/2020","ALT PIRINEU I ARAN",1,1,0
"18","18/05/2020","BARCELONA",418,107,157
"19","18/05/2020","CAMP DE TARRAGONA",9,6,9
"20","18/05/2020","CATALUNYA CENTRAL",21,21,14
"21","18/05/2020","GIRONA",68,19,15
"22","18/05/2020","LLEIDA",8,4,8
"23","25/05/2020","BARCELONA",276,73,126
"24","25/05/2020","CAMP DE TARRAGONA",2,2,6
"25","25/05/2020","CATALUNYA CENTRAL",9,11,12
"26","25/05/2020","GIRONA",45,15,9
"27","25/05/2020","LLEIDA",4,1,9
"28","25/05/2020","TERRES DE L'EBRE",1,2,0
"29","01/06/2020","BARCELONA",207,50,96
"30","01/06/2020","CAMP DE TARRAGONA",6,2,2
"31","01/06/2020","CATALUNYA CENTRAL",12,8,11
"32","01/06/2020","GIRONA",12,6,6
"33","01/06/2020","LLEIDA",5,3,5
"34","08/06/2020","BARCELONA",134,30,63
"35","08/06/2020","CAMP DE TARRAGONA",1,1,2
"36","08/06/2020","CATALUNYA CENTRAL",8,8,7
"37","08/06/2020","GIRONA",15,7,6
"38","08/06/2020","TERRES DE L'EBRE",1,1,0
"39","15/06/2020","BARCELONA",114,26,43
"40","15/06/2020","CAMP DE TARRAGONA",1,1,3
"41","15/06/2020","CATALUNYA CENTRAL",3,5,5
"42","15/06/2020","GIRONA",5,4,6
"43","15/06/2020","LLEIDA",1,1,4
"44","22/06/2020","BARCELONA",81,18,36
"45","22/06/2020","GIRONA",6,3,7
"46","29/06/2020","BARCELONA",55,16,30
"47","29/06/2020","CATALUNYA CENTRAL",3,5,5
"48","29/06/2020","GIRONA",8,5,4
"49","29/06/2020","LLEIDA",1,1,6
"50","06/07/2020","BARCELONA",55,16,23
"51","06/07/2020","CATALUNYA CENTRAL",1,2,5
"52","06/07/2020","LLEIDA",13,4,12
