Mujer,Hombre,Variación
nerviosismo,nerviosismo,"0,76459502863055"
irritacion,irritacion,"0,20534811188582"
alegria,alegria,"0,0206043956044004"
melancolia,melancolia,"0,9182415388318"
tension,tension,"0,48126075611242"
optimismo,optimismo,"-0,270105369420199"
desanimo,desanimo,"0,62899609199821"
ira,ira,"0,0118900870645597"
ansiedad,ansiedad,"0,6814567336811"
apagado,apagado,"0,65179859871644"
molesto,molesto,"-0,16816688489466"
animado,animado,"-0,23750014851779"
intranquilo,intranquilo,"0,982984541173551"
contento,contento,"-0,0756378316992397"
triste,triste,"0,89415427844545"
